,0,1,2,3,4,5,6,7,8,9
marital_status_Divorced,0.013860217897296134,0.030478293775575142,-0.03438975666409233,-0.01988304059854571,-0.04561056685157901,0.03429399171180794,-0.003157527373417895,0.0062905366223312935,-0.03717220611873084,0.007735993993638922
marital_status_Legally Separated,-0.001741615909423459,0.006307510970160241,-0.0041341432675919545,-0.0038981493606731676,-0.0063988925158504975,0.0029765401533490897,0.00641094722321318,0.008880026428838332,-0.009748628834895549,0.0027336491103305055
marital_status_Married,0.29622120288997306,-0.41029116897904183,-0.1126971988694914,0.11319955887852438,0.30064837024773444,-0.33908839490246734,0.17020169592505066,0.23722313573603823,0.04812060133812876,-0.015172172460562211
marital_status_Single,-0.36489993355736594,0.27040783481611647,0.2735221817942837,-0.07737918630106261,-0.1971201502217572,0.28659956785245033,-0.08967317247767653,-0.15887695326969514,0.10220774125791163,-0.023973071502254566
marital_status_Widowed,0.056560128679520094,0.1030975294171898,-0.12230108299310798,-0.012039182618242843,-0.05151876065854749,0.015218295184859567,-0.08378194329716931,-0.09351674551751253,-0.10340750764241416,0.02867560085884761
initial_discharge_quarter_1,-0.006097622191552579,0.003986781768407346,0.01514838720272406,0.01774542859671643,-0.00875455324823147,0.04463070761033615,-0.31856170504465253,0.29960018723186815,0.0019828771154518114,0.7423848862626273
initial_discharge_quarter_2,0.007243011079243287,0.002671166082006932,-0.0029986484971295077,0.014782737362945405,-0.03111349080522818,0.023934424078349333,-0.4261342125746672,0.35555843237985907,0.004598364868849067,-0.6592372233125735
initial_discharge_quarter_3,-0.002478338277775426,-0.0010103164931287054,-0.03928658497037027,-0.6807650727388683,0.2556659764234003,-0.04422109694983976,0.3374433600051592,-0.3186265931049005,0.010952235933258543,-0.040383838281677756
initial_discharge_quarter_4,0.0013329493900846746,-0.005647631357285579,0.02713684626477577,0.6482369067792068,-0.21579793236994055,-0.02434403473884599,0.4072525576141607,-0.33653202650682723,-0.01753347791755915,-0.04276382466837583
gender_Female,-0.33880384171816796,-0.0717998275874592,-0.5956097873029688,0.0005579273809815352,-0.0820817132244665,0.00826005647288003,0.011634656150498862,0.01823610612401455,-0.03519219829075608,0.0054456991972033466
gender_Male,0.338803841718168,0.07179982758745916,0.5956097873029688,-0.0005579273809815494,0.0820817132244665,-0.00826005647288003,-0.011634656150498858,-0.01823610612401456,0.035192198290756,-0.005445699197203301
race_African-American,-0.1898039262894463,0.2443494177194431,-0.0010866082242375994,0.15003747989833294,0.454154060636587,0.20527144415923695,0.11588110860707174,0.13671743144277393,-0.29294021431388,-0.035392837302746415
race_Asian,0.00469966605037154,-0.007567581453654923,8.248705369940675e-05,0.015436565579123927,0.03477768459617793,-0.026749504250351445,-0.008301524369486413,-0.007851905270938504,0.0018290165919978602,0.007695761796713162
race_Hispanic,-0.09760615746742114,-0.005606179115521307,0.056214495747322325,0.03373885080319376,0.07891400968114547,-0.24443357309701386,-0.09350452735421351,-0.0805339611212966,0.1960601917690639,0.02677526672739081
race_Native American,-0.0010978694799820559,-0.0033776700685130543,0.0012462918735384237,0.0019203703711414848,0.006858433374190795,-0.004799363681522465,0.0009123478940996194,-0.0019384494175267396,0.0022615876694685962,0.0014984972357631595
